mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.21339893341064453,0.006021541764704332,0.04387434323628744,0.0035626564959244846,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.07388043478260874,-0.06327173913043477,-0.06153478260869568,-0.0662289855072464,0.005456663296660647,25
0.3573276201883952,0.0011613187530931822,0.06083448727925619,0.001051198056910955,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.0753934782608695,-0.06179782608695669,-0.06104891304347835,-0.06608007246376818,0.006592665790749769,23
0.6851760546366373,0.02611104600743086,0.12201786041259766,0.018161336667463085,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.07330271739130435,-0.06065108695652184,-0.06118369565217383,-0.06504583333333334,0.0058425461781517205,19
0.17539715766906738,0.009772998560773249,0.04282736778259277,0.0023616417373818477,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.07266409632034636,-0.06123932909481824,-0.05782360282229851,-0.0639090094124877,0.006345888777537465,4
0.36084707578023273,0.011328888195304278,0.07101949055989583,0.005668263578531168,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.07341235310583141,-0.06131413346013893,-0.05733652623342845,-0.06402100426646626,0.006836344763077157,8
0.6666874885559082,0.03761493450627993,0.0962379773457845,0.0017011730533271143,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.0715262241623111,-0.06086185244724733,-0.057800345652234165,-0.06339614075393087,0.00588313397968535,1
0.17511757214864096,0.006530900372157519,0.057132323582967125,0.009112533373383153,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.07131551576868711,-0.06400485686710133,-0.058088621122889,-0.06446966458622581,0.005409850284717004,14
0.33466482162475586,0.015023539288367816,0.060451348622639976,0.004432600426171301,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.07177290945574027,-0.06417373058593831,-0.05804280738842832,-0.06466314914336897,0.005615963769349487,16
0.6462066968282064,0.03964605320987495,0.10186187426249187,0.005188759436943084,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.07019473683223681,-0.06394419941382307,-0.05812150255512144,-0.0640868129337271,0.0049299087509860305,11
0.1782411734263102,0.01637733675761271,0.057729085286458336,0.012084303202561233,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.07398691080055213,-0.06318891030304724,-0.061832120716204794,-0.0663359806066014,0.005438306667843791,27
0.33624426523844403,0.008628346106663378,0.05717333157857259,0.005999602572184883,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.07545598947550027,-0.06187478147988479,-0.060841838955340996,-0.06605753663690868,0.006659075480584141,22
0.6747031211853027,0.02540276054937456,0.09069712956746419,0.0027457854302671814,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.0733199422603363,-0.060597305275444976,-0.061245796106597854,-0.06505434788079305,0.0058506508427054555,20
0.1733542283376058,0.0030598424967346848,0.042325894037882485,0.0005600912809947705,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.07266409632034632,-0.06130333715102594,-0.057764637237034205,-0.06391069023613548,0.0063559519521283175,6
0.3675994873046875,0.008418129225088198,0.05990068117777506,0.0038044627521735134,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.07341235310583138,-0.061368914251623295,-0.05728864794019156,-0.06402330509921542,0.00684484283461915,9
0.6619653701782227,0.046727454580987045,0.0912787914276123,0.0026395210594886546,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.07152622416231112,-0.060913794865011923,-0.05784714234077041,-0.06342905378936449,0.005860842684717094,3
0.17368348439534506,0.005541680215652294,0.05259553591410319,0.004518471113282319,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.0713155157686871,-0.06400485686710133,-0.058115149163216626,-0.06447850726633503,0.005399424546821367,15
0.33947006861368817,0.024478533286537683,0.05873719851175944,0.005088687140245387,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.0717729094557403,-0.06417373058593834,-0.058053583054554866,-0.06466674103207783,0.005611730196684319,18
0.6555991967519125,0.01930383436529575,0.08902653058369954,0.004620939980606394,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.07019473683223679,-0.06394419941382305,-0.05812628868011018,-0.06408840830872334,0.004927978446528102,12
0.1843400796254476,0.004904004633369386,0.04965853691101074,0.002527951335999779,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.07388043478260872,-0.0632717391304348,-0.061592608695652216,-0.06624826086956524,0.005440124308227974,26
0.3562008539835612,0.01788275305806526,0.06159671147664388,0.005400391730811182,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.07539347826086953,-0.06179782608695669,-0.06108250000000011,-0.06609126811594211,0.006584135379225995,24
